id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,jumlah_desa,satuan,tahun
1,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203010,AGRABINTA,32.03.22,AGRABINTA,1,DESA,2023
2,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203160,BOJONGPICUNG,32.03.06,BOJONGPICUNG,2,DESA,2023
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203110,CAMPAKA,32.03.15,CAMPAKA,1,DESA,2023
4,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203111,CAMPAKAMULYA,32.03.25,CAMPAKAMULYA,2,DESA,2023
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203200,CIANJUR,32.03.01,CIANJUR,1,DESA,2023
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203120,CIBEBER,32.03.03,CIBEBER,1,DESA,2023
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203050,CIBINONG,32.03.20,CIBINONG,1,DESA,2023
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203030,CIDAUN,32.03.23,CIDAUN,1,DESA,2023
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203071,CIJATI,32.03.29,CIJATI,2,DESA,2023
10,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203051,CIKADU,32.03.26,CIKADU,1,DESA,2023
11,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203240,CIKALONGKULON,32.03.12,CIKALONGKULON,2,DESA,2023
12,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203140,CILAKU,32.03.04,CILAKU,1,DESA,2023
13,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203221,CIPANAS,32.03.28,CIPANAS,1,DESA,2023
14,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203170,CIRANJANG,32.03.05,CIRANJANG,1,DESA,2023
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203210,CUGENANG,32.03.11,CUGENANG,1,DESA,2023
16,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203131,GEKBRONG,32.03.27,GEKBRONG,1,DESA,2023
17,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203161,HAURWANGI,32.03.31,HAURWANGI,1,DESA,2023
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203070,KADUPANDAK,32.03.17,KADUPANDAK,2,DESA,2023
19,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203190,KARANGTENGAH,32.03.07,KARANGTENGAH,1,DESA,2023
20,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203011,LELES,32.03.30,LELES,2,DESA,2023
21,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203180,MANDE,32.03.08,MANDE,1,DESA,2023
22,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203040,NARINGGUL,32.03.24,NARINGGUL,1,DESA,2023
23,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203220,PACET,32.03.10,PACET,1,DESA,2023
24,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203100,PAGELARAN,32.03.18,PAGELARAN,1,DESA,2023
25,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203061,PASIRKUDA,32.03.32,PASIRKUDA,1,DESA,2023
26,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203020,SINDANGBARANG,32.03.21,SINDANGBARANG,1,DESA,2023
27,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203150,SUKALUYU,32.03.09,SUKALUYU,1,DESA,2023
28,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203090,SUKANAGARA,32.03.14,SUKANAGARA,7,DESA,2023
29,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203230,SUKARESMI,32.03.13,SUKARESMI,1,DESA,2023
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203080,TAKOKAK,32.03.16,TAKOKAK,1,DESA,2023
31,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203060,TANGGEUNG,32.03.19,TANGGEUNG,1,DESA,2023
32,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203130,WARUNGKONDANG,32.03.02,WARUNGKONDANG,1,DESA,2023
33,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203010,AGRABINTA,32.03.22,AGRABINTA,5,DESA,2024
34,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203160,BOJONGPICUNG,32.03.06,BOJONGPICUNG,2,DESA,2024
35,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203110,CAMPAKA,32.03.15,CAMPAKA,4,DESA,2024
36,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203111,CAMPAKAMULYA,32.03.25,CAMPAKAMULYA,1,DESA,2024
37,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203200,CIANJUR,32.03.01,CIANJUR,1,DESA,2024
38,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203120,CIBEBER,32.03.03,CIBEBER,5,DESA,2024
39,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203050,CIBINONG,32.03.20,CIBINONG,5,DESA,2024
40,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203030,CIDAUN,32.03.23,CIDAUN,5,DESA,2024
41,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203071,CIJATI,32.03.29,CIJATI,2,DESA,2024
42,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203051,CIKADU,32.03.26,CIKADU,4,DESA,2024
43,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203240,CIKALONGKULON,32.03.12,CIKALONGKULON,5,DESA,2024
44,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203140,CILAKU,32.03.04,CILAKU,1,DESA,2024
45,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203221,CIPANAS,32.03.28,CIPANAS,3,DESA,2024
46,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203170,CIRANJANG,32.03.05,CIRANJANG,1,DESA,2024
47,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203210,CUGENANG,32.03.11,CUGENANG,2,DESA,2024
48,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203131,GEKBRONG,32.03.27,GEKBRONG,1,DESA,2024
49,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203161,HAURWANGI,32.03.31,HAURWANGI,3,DESA,2024
50,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203070,KADUPANDAK,32.03.17,KADUPANDAK,0,DESA,2024
51,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203190,KARANGTENGAH,32.03.07,KARANGTENGAH,6,DESA,2024
52,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203011,LELES,32.03.30,LELES,8,DESA,2024
53,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203180,MANDE,32.03.08,MANDE,2,DESA,2024
54,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203040,NARINGGUL,32.03.24,NARINGGUL,2,DESA,2024
55,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203220,PACET,32.03.10,PACET,6,DESA,2024
56,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203100,PAGELARAN,32.03.18,PAGELARAN,1,DESA,2024
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203061,PASIRKUDA,32.03.32,PASIRKUDA,4,DESA,2024
58,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203020,SINDANGBARANG,32.03.21,SINDANGBARANG,5,DESA,2024
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203150,SUKALUYU,32.03.09,SUKALUYU,2,DESA,2024
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203090,SUKANAGARA,32.03.14,SUKANAGARA,2,DESA,2024
61,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203230,SUKARESMI,32.03.13,SUKARESMI,3,DESA,2024
62,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203080,TAKOKAK,32.03.16,TAKOKAK,5,DESA,2024
63,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203060,TANGGEUNG,32.03.19,TANGGEUNG,1,DESA,2024
64,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203130,WARUNGKONDANG,32.03.02,WARUNGKONDANG,2,DESA,2024
