id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,lokasi_pemasangan,jumlah_titik_akses,satuan,tahun
1,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAPANG KARANGPAWITAN,4,TITIK,2024
2,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TAMAN MILENIAL,1,TITIK,2024
3,32,JAWA BARAT,3215,KABUPATEN KARAWANG,GOR PANATAYUDHA,3,TITIK,2024
4,32,JAWA BARAT,3215,KABUPATEN KARAWANG,GOR ADIARSA,1,TITIK,2024
5,32,JAWA BARAT,3215,KABUPATEN KARAWANG,STADION SINGAPERBANGSA,2,TITIK,2024
6,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TAMAN I LOVE KARAWANG,1,TITIK,2024
7,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MASJID AL JIHAD,1,TITIK,2024
8,32,JAWA BARAT,3215,KABUPATEN KARAWANG,GEDUNG PERPUSTAKAAN DAERAH,1,TITIK,2024
9,32,JAWA BARAT,3215,KABUPATEN KARAWANG,STASIUN KARAWANG,1,TITIK,2024
10,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MASJID AGUNG KARAWANG,1,TITIK,2024
11,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TAMAN ALUN-ALUN KARAWANG,1,TITIK,2024
12,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KANTOR KNPI,1,TITIK,2024
13,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KANTOR KEC. RENGASDENGKLOK,1,TITIK,2024
14,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MESS PERSIKA,1,TITIK,2024
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,CULINARY NIGHT FESTIVAL,1,TITIK,2024
16,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DISDUKCAPIL,1,TITIK,2024
17,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DINAS TENAGA KERJA DAN TRANSMIGRASI,2,TITIK,2024
18,32,JAWA BARAT,3215,KABUPATEN KARAWANG,EKORIPARIAN BINTANG ALAM,1,TITIK,2024
19,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SITU CIPULE,1,TITIK,2024
20,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KANTOR KEC. TELAGASARI,1,TITIK,2024
21,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KANTOR KEC. KOTABARU,1,TITIK,2024
22,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KANTOR KEC. CILAMAYA WETAN,1,TITIK,2024
23,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KANTOR KEC. CIKAMPEK,1,TITIK,2024
24,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KANTOR KEC. KLARI,1,TITIK,2024
25,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KANTOR KEC. TELUKJAMBE TIMUR,1,TITIK,2024
26,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KANTOR KEC. MAJALAYA,1,TITIK,2024
27,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RSUD KARAWANG,1,TITIK,2024
28,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RSUD JATISARI,1,TITIK,2024
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PUNCAK SEMPUR,1,TITIK,2024
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PANTAI SEDARI,1,TITIK,2024
31,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TAMAN MANGROVE SEDARI,1,TITIK,2024
32,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TAMAN MANGROVE TANGKOLAK,1,TITIK,2024
33,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PANTAI TANJUNG PAKIS,1,TITIK,2024
34,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SDN JAYAMAKMUR III,1,TITIK,2024
35,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SDN TAMANMEKAR II,1,TITIK,2024
36,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SDN SOLOKAN II,1,TITIK,2024
37,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SMPN 2 CIAMPEL,1,TITIK,2024
38,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SMPN 2 TIRTAMULYA,1,TITIK,2024
