NO,KABUPATEN/KOTA,LOKASI,ALAMAT,TITIK KOORDINAT
"1,KABUPATEN BANDUNG,DOME SABILULUNGAN,""JL. AL-FATHU NO.104, PAMEKARAN, KEC. SOREANG, KABUPATEN BANDUNG, JAWA BARAT 40912"",""-7.020499, 107.530330"""
"2,KABUPATEN BANDUNG BARAT,SITU CIBURUY,""JL. RAYA CIBURUY, PADALARANG, KABUPATEN BANDUNG BARAT, JAWA BARAT 40179"",""-6.834660, 107.469372"""
"3,KABUPATEN CIANJUR,PANTAI JAYANTI,""JL. PANTAI JAYANTI, CIDAMAR, KEC. CIDAUN, KABUPATEN CIANJUR, JAWA BARAT 43275"",""-7.499337, 107.385893"""
"4,KABUPATEN CIREBON,PANTAI BARO GEBANG,""JL. PANTAI GEBANG (GEBANG MEKAR), KEC. GEBANG, KABUPATEN CIREBON, JAWA BARAT 45191"",""-6.805631, 108.730820"""
"5,KABUPATEN GARUT,PANTAI SAYANG HEULANG,""DESA MANCAGAHAR, KECAMATAN PAMEUNGPEUK, KABUPATEN GARUT"",""-7.667754, 107.703316"""
"6,KABUPATEN GARUT,PANTAI RANCABUAYA,""KAMPUNG PURBAYANI, DESA PURBAYANI, KECAMATAN CARINGIN, KABUPATEN GARUT, JAWA BARAT"",""-7.519928, 107.476600"""
"7,KABUPATEN INDRAMAYU,PASAR MAMBO,""JL. JENDERAL AHMAD YANI, LEMAHABANG, KEC. INDRAMAYU, KABUPATEN INDRAMAYU, JAWA BARAT 45212"",""-6.329522, 108.326503"""
"8,KABUPATEN KUNINGAN,WADUK DARMA,""DESA JAGARA, KECAMATAN DARMA, KABUPATEN KUNINGAN, JAWA BARAT"",""-7.012672, 108.408803"""
"9,KABUPATEN PANGANDARAN,ALUN-ALUN PAAMPROKAN,""JL. PAMUGARAN NO.16, WONOHARJO, KEC. PANGANDARAN, KAB. PANGANDARAN, JAWA BARAT 46396"",""-7.684936, 108.634430"""
"10,KABUPATEN PANGANDARAN,TOURISM INFORMATION CENTER,""PANANJUNG, PANGANDARAN, PANGANDARAN REGENCY, WEST JAVA 46396"",""-7.685339, 108.653431"""
"11,KABUPATEN SUKABUMI,PLAZA AMPHITEATER GEOPARK,""JL. TAMAN JAYA NO.4, MEKARSAKTI, KEC. CIEMAS, KABUPATEN SUKABUMI, JAWA BARAT 43177"",""-7.237811, 106.515317"""
"12,KABUPATEN SUMEDANG,GEDUNG PUSAT PENCAK SILAT,""KIARA PAYUNG, SINDANGLAYA, KEC. JATINANGOR, KABUPATEN BANDUNG, JAWA BARAT"",""-6.894915, 107.767388"""
"13,KOTA BANDUNG,GOR ARCAMANIK,""JL. PACUAN KUDA NO.140, SUKAMISKIN, KEC. ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40293"",""-6.908155, 107.672641"""
"14,KOTA BANDUNG,GOR SAPARUA OUTDOOR,""JL. BANDA NO.28, CITARUM, KEC. BANDUNG WETAN, KOTA BANDUNG, JAWA BARAT 40115"",""-6.908375, 107.616186"""
"15,KOTA BANDUNG,ISLAMIC CENTER BANDUNG,""JL. DIPONEGORO NO.63, CIHAUR GEULIS, KEC. CIBEUNYING KALER, KOTA BANDUNG, JAWA BARAT 40122"",""-6.900045, 107.625933"""
"16,KOTA BANDUNG,GEDUNG KWARDA PRAMUKA,""JL. CIKUTRA NO.276 A, NEGLASARI, KEC. CIBEUNYING KALER, KOTA BANDUNG, JAWA BARAT 40124"",""-6.892832, 107.640761"""
"17,KOTA BANDUNG,LAPANGAN GASIBU,""JL. DIPONEGORO, CITARUM, KEC. BANDUNG WETAN, KOTA BANDUNG, JAWA BARAT 40115"",""-6.900232, 107.618677"""
"18,KOTA BANDUNG,MONUMEN PERJUANGAN RAKYAT,""JL. DIPATI UKUR NO.48, LEBAKGEDE, KECAMATAN COBLONG, KOTA BANDUNG, JAWA BARAT 40132"",""-6.895957, 107.618597"""
"19,KOTA BANDUNG,MUSEUM KONFERENSI ASIA AFRIKA,""JL. ASIA AFRIKA NO.65, BRAGA, KEC. SUMUR BANDUNG, KOTA BANDUNG, JAWA BARAT 40111"",""-6.921087, 107.609553"""
"20,KOTA BANDUNG,MUSEUM SRI BADUGA,""JL. BKR NO.185, PELINDUNG HEWAN, KEC. ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40243"",""-6.937441, 107.603434"""
"21,KOTA BANDUNG,SAUNG ANGKLUNG UDJO,""JL. PADASUKA NO.118, PASIRLAYUNG, KEC. CIBEUNYING KIDUL"",""-6.897603, 107.654717"""
"22,KOTA BANDUNG,TEATER TERTUTUP DAGO TEA HOUSE,""JL. BUKIT DAGO UTARA III NO.9, DAGO, KECAMATAN COBLONG, KOTA BANDUNG, JAWA BARAT 40135"",""-6.869849, 107.616892"""
"23,KOTA BOGOR,CREATIVE CENTER,""JL. IR. H. JUANDA NO.4, RT.03/RW.01, PABATON, KECAMATAN BOGOR TENGAH, KOTA BOGOR, JAWA BARAT 16122"",""-6.593166, 106.795335"""
"24,KOTA BOGOR,SETU GEDE,""JL. CILUBANG MALANG NO.37, BOGOR BAR., KOTA BOGOR, JAWA BARAT 16115, INDONESIA"",""-6.551094, 106.745125"""
"25,KOTA CIMAHI,VELODROME CIMAHI,""JL. KB. MANGGU, PADASUKA, KEC. CIMAHI TENGAH, KOTA CIMAHI, JAWA BARAT 40526"",""-6.873661, 107.529090"""
