id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;lokasi;jumlah_titik_internet;satuan;tahun
1;32;JAWA BARAT;3278;KOTA TASIKMALAYA;ORGANISASI PERANGKAT DAERAH;66;TITIK;2021
2;32;JAWA BARAT;3278;KOTA TASIKMALAYA;KECAMATAN;10;TITIK;2021
3;32;JAWA BARAT;3278;KOTA TASIKMALAYA;KELURAHAN;69;TITIK;2021
4;32;JAWA BARAT;3278;KOTA TASIKMALAYA;PUSKESMAS DAN PUSTU;41;TITIK;2021
5;32;JAWA BARAT;3278;KOTA TASIKMALAYA;SEKOLAH DASAR;179;TITIK;2021
6;32;JAWA BARAT;3278;KOTA TASIKMALAYA;SEKOLAH MENENGAH PERTAMA;21;TITIK;2021
7;32;JAWA BARAT;3278;KOTA TASIKMALAYA;AREA PUBLIK;14;TITIK;2021
8;32;JAWA BARAT;3278;KOTA TASIKMALAYA;ORGANISASI PERANGKAT DAERAH;97;TITIK;2022
9;32;JAWA BARAT;3278;KOTA TASIKMALAYA;KECAMATAN DAN KELURAHAN;79;TITIK;2022
10;32;JAWA BARAT;3278;KOTA TASIKMALAYA;PUSKESMAS DAN PUSTU;42;TITIK;2022
11;32;JAWA BARAT;3278;KOTA TASIKMALAYA;FORKOPIMDA;48;TITIK;2022
12;32;JAWA BARAT;3278;KOTA TASIKMALAYA;SEKOLAH DASAR;51;TITIK;2022
13;32;JAWA BARAT;3278;KOTA TASIKMALAYA;NON OPD;14;TITIK;2022
14;32;JAWA BARAT;3278;KOTA TASIKMALAYA;AREA PUBLIK;17;TITIK;2022
